,Referenzjahr,Stations_id,observed time emergence to beginning of flowering,observed time emergence to yellow ripeness,lat,lon
24803,2017.0,11455.0,60.0,103.0,49.9667,11.5667
24804,2017.0,11458.0,71.0,137.0,50.3167,11.9167
24805,2017.0,11472.0,60.0,125.0,49.9167,11.0167
24806,2017.0,11486.0,40.0,,49.9333,11.6167
24807,2017.0,11508.0,63.0,118.0,50.2667,11.15
24808,2017.0,11509.0,55.0,108.0,50.2167,11.1333
24809,2017.0,11517.0,65.0,121.0,49.9333,11.2833
24810,2017.0,11520.0,64.0,118.0,49.8167,11.2167
24811,2017.0,11523.0,57.0,,49.6667,11.1
24812,2017.0,11533.0,73.0,131.0,50.2667,11.85
24813,2017.0,11561.0,65.0,123.0,50.1167,11.6167
24814,2017.0,11563.0,58.0,,50.0167,11.25
24815,2017.0,11567.0,59.0,,50.1667,11.0333
24816,2017.0,11584.0,61.0,109.0,50.2833,11.7333
24817,2017.0,11586.0,52.0,137.0,50.3167,11.75
24818,2017.0,11588.0,60.0,,49.7333,11.2833
24819,2017.0,11591.0,63.0,,49.85,11.6
24820,2017.0,11609.0,91.0,116.0,50.0333,11.0
24821,2017.0,11620.0,93.0,,50.1,11.8833
24822,2017.0,11622.0,73.0,101.0,49.3,10.5833
24823,2017.0,11632.0,65.0,121.0,49.4,10.5167
24824,2017.0,11634.0,61.0,,49.3333,10.8
24825,2017.0,11635.0,65.0,,49.35,10.5167
24826,2017.0,11652.0,58.0,119.0,49.5833,11.2
24827,2017.0,11655.0,56.0,96.0,49.5667,11.1833
24828,2017.0,11660.0,58.0,,49.1667,10.3333
24829,2017.0,11675.0,62.0,,49.5167,11.4167
24830,2017.0,11688.0,59.0,113.0,49.15,11.0333
24831,2017.0,11696.0,51.0,,49.4833,10.7167
24832,2017.0,11702.0,69.0,123.0,49.4,11.4
24833,2017.0,11703.0,55.0,116.0,49.3833,10.3333
24834,2017.0,11712.0,58.0,109.0,49.7667,10.5167
24835,2017.0,11715.0,61.0,90.0,49.3667,10.95
24836,2017.0,11720.0,59.0,,49.6333,10.2333
24837,2017.0,11721.0,63.0,105.0,49.45,10.3167
24838,2017.0,11725.0,75.0,,49.55,10.2333
24839,2017.0,11728.0,69.0,,48.9,10.9333
24840,2017.0,11746.0,63.0,117.0,50.0833,9.25
24841,2017.0,11748.0,66.0,124.0,49.9667,9.2167
24842,2017.0,11780.0,61.0,,50.2833,9.9167
24843,2017.0,11788.0,70.0,122.0,50.0333,10.8333
24844,2017.0,11803.0,60.0,123.0,49.95,10.2833
24845,2017.0,11814.0,62.0,111.0,50.15,9.8833
24846,2017.0,11815.0,60.0,112.0,50.1833,9.7833
